0	0	0
-156	38	38
-147	39	39
-142	41	41
-142	44	44
-144	47	47
-148	52	52
-151	56	56
-154	60	60
-158	65	65
-161	70	70
-166	76	76
-170	82	82
-173	87	87
-180	95	95
-185	102	102
-186	108	108
-181	111	111
-182	116	116
-173	116	116
-166	116	116
-158	116	116
-150	115	115
-124	115	115
-121	117	117
-118	119	119
-148	172	172
-140	172	172
-134	172	172
-1	10	10
0	10	10
-1	10	10
0	12	12
31	140	140
34	135	135
38	132	132
40	128	128
43	122	122
48	116	116
50	112	112
52	109	109
55	107	107
57	104	104
59	101	101
61	98	98
62	94	94
64	92	92
66	89	89
68	87	87
69	84	84
71	82	82
72	80	80
74	77	77
75	75	75
77	73	73
78	71	71
79	69	69
81	67	67
82	65	65
84	64	64
85	62	62
86	60	60
88	58	58
89	56	56
97	48	48
-156	38	32
-148	39	33
-144	41	35
-142	43	37
-144	47	40
-147	51	44
-151	55	48
-154	60	52
-158	65	56
-162	70	61
-165	76	65
-170	82	71
-174	88	76
-179	96	82
-186	104	90
-184	108	93
-181	112	96
-184	119	103
-194	131	113
-193	137	118
-185	137	118
-177	137	119
-168	137	118
-159	135	117
-154	137	118
-140	137	118
-134	137	118
-128	137	118
-121	136	117
-98	134	116
-95	137	119
-103	158	136
-103	166	143
0	11	9
0	11	9
33	139	120
36	134	115
39	129	112
41	125	108
44	122	105
46	119	103
49	116	100
50	111	96
52	108	93
54	105	91
56	103	89
58	100	86
60	97	84
62	94	81
64	92	79
65	90	77
67	87	75
69	85	73
70	82	71
72	80	69
73	78	67
75	76	66
76	74	64
77	72	62
79	70	60
81	68	59
82	66	57
83	64	55
85	62	54
86	60	52
87	59	51
88	57	49
89	54	47
97	49	42
-153	37	28
-146	39	29
-143	41	31
-143	44	33
-146	48	36
-148	53	39
-152	58	43
-156	63	47
-160	68	51
-165	74	55
-168	80	59
-174	87	65
-176	93	69
-184	102	75
-184	107	80
-183	112	83
-183	117	87
-188	126	94
-185	130	96
-162	125	93
-171	138	103
-167	142	105
-162	150	111
-163	158	117
-159	161	120
-153	162	120
-146	163	121
-139	162	121
-130	160	118
-126	162	120
-121	163	121
-114	163	121
-108	162	120
-102	162	120
-97	162	120
-91	161	120
35	145	107
36	131	97
39	129	95
41	125	93
43	122	90
46	118	88
48	115	86
50	112	83
52	109	81
54	106	79
56	104	77
58	101	75
60	98	73
61	95	71
63	93	69
65	91	67
66	88	66
68	86	64
69	84	62
71	82	61
72	80	59
74	77	57
75	75	56
77	73	54
78	71	53
80	69	51
81	67	50
82	65	48
84	63	47
85	62	46
86	60	44
88	58	43
89	56	42
97	48	36
-157	37	23
-148	38	24
-144	40	26
-142	43	27
-144	47	30
-146	51	32
-150	56	35
-154	61	39
-158	67	42
-161	72	45
-167	78	50
-171	85	54
-176	92	58
-181	100	63
-188	108	69
-177	119	75
-186	130	82
-193	141	90
-166	128	81
-165	133	84
-168	142	90
-165	146	92
-157	153	97
-153	155	98
-149	159	100
-156	173	109
-152	176	112
-147	180	114
-142	182	115
-135	181	115
-131	186	118
-126	187	119
-119	187	118
-113	187	118
-107	188	119
-101	188	119
1	14	9
2	14	9
38	131	83
40	128	81
43	124	79
45	121	76
47	118	74
49	115	73
51	111	70
53	109	69
55	106	67
57	103	65
58	101	64
60	98	62
62	95	60
64	93	59
65	91	57
67	88	56
68	86	54
70	84	53
72	82	52
73	79	50
74	78	49
76	75	48
77	73	46
78	71	45
80	69	44
81	67	43
83	65	41
84	63	40
85	62	39
87	60	38
88	58	37
89	56	35
98	50	32
99	48	30
-161	35	18
-151	36	19
-146	38	20
-143	41	22
-143	44	23
-145	48	26
-148	53	28
-152	58	31
-156	63	34
-160	69	37
-164	75	40
-169	81	43
-174	88	47
-179	96	51
-185	105	56
-192	114	60
-198	123	66
-206	134	71
-201	137	73
-197	142	75
-191	144	76
-142	141	75
-137	143	76
-135	147	78
-134	154	82
-139	166	88
-135	169	90
-132	173	92
-127	176	94
-123	178	95
-119	182	97
-115	185	98
-109	185	98
-106	190	101
-101	192	102
2	14	7
2	13	7
2	14	8
37	136	73
38	129	69
41	126	67
43	123	65
45	119	64
47	117	62
49	114	60
51	111	59
53	108	57
55	105	56
57	103	55
59	100	53
60	97	52
62	95	51
64	93	49
65	91	48
67	88	47
68	86	46
70	84	45
71	81	43
73	79	42
74	77	41
75	75	40
77	73	39
78	71	38
79	69	37
81	67	36
82	65	35
84	64	34
85	62	33
87	60	32
87	57	31
89	56	30
64	35	19
61	32	17
-158	34	15
-149	36	16
-146	38	17
-143	41	18
-143	44	19
-145	49	21
-149	53	23
-153	59	26
-156	64	28
-161	70	31
-166	77	34
-170	83	36
-176	91	40
-181	98	43
-188	108	47
-194	117	51
-202	127	56
-204	135	59
-198	138	60
-193	141	62
-189	145	63
-185	148	65
-181	152	67
-176	155	68
-172	158	69
-145	140	61
-140	142	62
-159	168	73
-154	171	75
-150	174	76
-146	177	78
-142	181	79
-119	176	77
-88	180	79
-84	182	80
2	14	6
39	138	60
39	127	56
42	124	54
44	121	53
46	118	52
48	115	50
50	112	49
52	109	48
54	107	47
56	104	46
57	101	44
59	99	43
61	96	42
62	94	41
64	92	40
65	90	39
67	87	38
68	85	37
70	83	36
71	81	35
73	79	34
74	77	34
75	75	33
77	73	32
78	71	31
80	69	30
81	67	29
82	65	28
82	61	27
84	60	26
86	59	26
89	58	25
91	56	25
60	33	14
62	32	14
100	45	20
